variable,value
"po[OLP-a,EUR]",0.9999999994661591
"po[GSP-a,EUR]",0.9999999994661593
"po[NUC-a,EUR]",0.9999999994661591
"po[HYD-a,EUR]",0.9999999994661593
"po[SOL-a,EUR]",0.9999999994661591
"po[WND-a,EUR]",0.9999999994661593
"po[XEL-a,EUR]",0.9999999994661591
"po[SRV-a,EUR]",0.9999999995059035
"po[AGR-a,XOE]",0.9999999764894549
"po[FRS-a,XOE]",0.9999999988550724
"po[COA-a,XOE]",1.0000000006959453
"po[OIL-a,XOE]",0.9999999998645596
"po[GAS-a,XOE]",1.0000000019183044
"po[OXT-a,XOE]",1.0000000073872768
"po[EIT-a,XOE]",1.000000000355683
"po[XMN-a,XOE]",0.999999999024978
"po[P_C-a,XOE]",0.9999999999883391
"po[ETD-a,XOE]",0.9999999999998078
"po[CLP-a,XOE]",0.9999999999998078
"po[OLP-a,XOE]",0.9999999999998078
"po[GSP-a,XOE]",0.9999999999998078
"po[NUC-a,XOE]",0.9999999999998077
"po[HYD-a,XOE]",0.9999999999998078
"po[SOL-a,XOE]",0.9999999999998078
"po[WND-a,XOE]",0.9999999999998078
"po[XEL-a,XOE]",0.9999999999998079
"po[SRV-a,XOE]",0.9999999999673773
"po[AGR-a,OPC]",0.9999999905459693
"po[FRS-a,OPC]",1.0000000381646172
"po[COA-a,OPC]",1.000000000834896
"po[OIL-a,OPC]",1.000000000896191
"po[GAS-a,OPC]",1.000000000780741
"po[OXT-a,OPC]",1.0000000012049524
"po[EIT-a,OPC]",1.0000000008559793
"po[XMN-a,OPC]",0.9999999993415918
"po[P_C-a,OPC]",1.000000000866623
"po[ETD-a,OPC]",1.0000000008139212
"po[CLP-a,OPC]",1.0000000008139212
"po[OLP-a,OPC]",1.0000000008139212
"po[GSP-a,OPC]",1.0000000008139212
"po[NUC-a,OPC]",1.0000000008139212
"po[HYD-a,OPC]",1.0000000008139212
"po[SOL-a,OPC]",1.0
"po[WND-a,OPC]",1.0000000008139212
"po[XEL-a,OPC]",1.0000000008139212
"po[SRV-a,OPC]",1.0000000008149068
"po[AGR-a,SAS]",1.0000000063443257
"po[FRS-a,SAS]",1.000000055695056
"po[COA-a,SAS]",0.9999999980416409
"po[OIL-a,SAS]",0.999999985827621
"po[GAS-a,SAS]",0.9999999991059869
"po[OXT-a,SAS]",0.9999999999666496
"po[EIT-a,SAS]",1.0000000000998785
"po[XMN-a,SAS]",1.0000000009483696
"po[P_C-a,SAS]",0.9999999986814924
"po[ETD-a,SAS]",0.9999999992828555
"po[CLP-a,SAS]",0.9999999992828558
"po[OLP-a,SAS]",0.9999999992828555
"po[GSP-a,SAS]",0.9999999992828555
"po[NUC-a,SAS]",0.9999999992828555
"po[HYD-a,SAS]",0.9999999992828555
"po[SOL-a,SAS]",0.9999999992828555
"po[WND-a,SAS]",0.9999999992828555
"po[XEL-a,SAS]",0.9999999992828555
"po[SRV-a,SAS]",0.9999999995283074
"po[AGR-a,XLC]",0.9999999758499986
"po[FRS-a,XLC]",1.0000000184045736
"po[COA-a,XLC]",0.9999999996909475
"po[OIL-a,XLC]",0.9999999993258926
"po[GAS-a,XLC]",1.0000000000145544
"po[OXT-a,XLC]",0.9999999874076788
"po[EIT-a,XLC]",0.9999999994559033
"po[XMN-a,XLC]",0.9999999977251428
"po[P_C-a,XLC]",0.9999999998380188
"po[ETD-a,XLC]",1.0000000001168419
"po[CLP-a,XLC]",1.0000000001168419
"po[OLP-a,XLC]",1.0000000001168419
"po[GSP-a,XLC]",1.0000000001168419
"po[NUC-a,XLC]",1.0000000001168416
"po[HYD-a,XLC]",1.0000000001168419
"po[SOL-a,XLC]",1.0000000001168419
"po[WND-a,XLC]",1.0000000001168419
"po[XEL-a,XLC]",1.0000000001168419
"po[SRV-a,XLC]",1.0000000000034002
"po[AGR-a,ROW]",1.0000000326797336
